iter	Passed	Remaining
0	14	14709
1	25	12949
2	37	12457
3	50	12655
4	61	12248
5	76	12649
6	88	12483
7	99	12353
8	112	12377
9	128	12697
10	139	12507
11	151	12467
12	163	12439
13	179	12627
14	192	12654
15	208	12802
16	220	12738
17	231	12626
18	242	12541
19	257	12616
20	269	12547
21	283	12618
22	296	12607
23	309	12575
24	346	13527
25	358	13419
26	370	13355
27	382	13267
28	396	13259
29	422	13667
30	435	13627
31	451	13646
32	465	13639
33	479	13625
34	490	13537
35	505	13532
36	519	13524
37	531	13454
38	547	13481
39	557	13386
40	570	13337
41	582	13294
42	595	13247
43	610	13270
44	625	13272
45	640	13285
46	652	13221
47	668	13268
48	684	13275
49	695	13218
50	708	13186
51	723	13196
52	735	13144
53	749	13122
54	768	13200
55	788	13295
56	802	13271
57	820	13333
58	838	13369
59	854	13380
60	867	13348
61	878	13288
62	891	13265
63	905	13239
64	918	13206
65	931	13178
66	944	13154
67	954	13083
68	967	13055
69	979	13013
70	993	12997
71	1007	12980
72	1019	12948
73	1034	12940
74	1046	12905
75	1058	12874
76	1073	12870
77	1086	12838
78	1098	12805
79	1116	12834
80	1128	12807
81	1142	12794
82	1154	12756
83	1166	12720
84	1181	12720
85	1193	12681
86	1208	12686
87	1222	12672
88	1237	12668
89	1249	12638
90	1261	12605
91	1274	12577
92	1286	12548
93	1299	12526
94	1312	12499
95	1323	12463
96	1336	12446
97	1348	12411
98	1362	12401
99	1374	12373
100	1384	12323
101	1397	12300
102	1408	12265
103	1421	12243
104	1433	12220
105	1445	12191
106	1465	12230
107	1480	12224
108	1493	12207
109	1504	12176
110	1516	12143
111	1529	12125
112	1542	12107
113	1554	12080
114	1566	12051
115	1577	12023
116	1587	11981
117	1598	11948
118	1610	11923
119	1623	11904
120	1634	11870
121	1645	11843
122	1657	11817
123	1669	11797
124	1679	11754
125	1688	11709
126	1700	11686
127	1712	11668
128	1727	11661
129	1739	11640
130	1748	11599
131	1761	11582
132	1770	11539
133	1782	11519
134	1792	11488
135	1802	11451
136	1812	11418
137	1825	11404
138	1840	11400
139	1852	11377
140	1865	11364
141	1878	11347
142	1889	11325
143	1902	11306
144	1915	11292
145	1929	11284
146	1944	11282
147	1954	11254
148	1968	11241
149	1978	11209
150	1991	11198
151	2005	11191
152	2020	11183
153	2034	11178
